Original File,Destination File,Bank Type,Status,Processed,Verified
statement_4116465959_2021-12-31.pdf,PNC\2021-12\ARCTARIS ROYALTY VENTURES CO-I statement_4116465959_2021-12-31.pdf,PNC,Would process,,
statement_4116465959_2021-12-31.pdf,PNC\2021-12\ARCTARIS ROYALTY VENTURES CO-I statement_4116465959_2021-12-31.pdf,PNC,Processed,,
statement_4116465959_2022-01-31.pdf,PNC\2022-01\ARCTARIS ROYALTY VENTURES CO-I statement_4116465959_2022-01-31.pdf,PNC,Would process,,
statement_4116465959_2022-01-31.pdf,PNC\2022-01\ARCTARIS ROYALTY VENTURES CO-I statement_4116465959_2022-01-31.pdf,PNC,Processed,,
statement_4116465959_2022-02-28.pdf,PNC\2022-02\ARCTARIS ROYALTY VENTURES CO-I statement_4116465959_2022-02-28.pdf,PNC,Would process,,
statement_4116465959_2022-02-28.pdf,PNC\2022-02\ARCTARIS ROYALTY VENTURES CO-I statement_4116465959_2022-02-28.pdf,PNC,Processed,,
statement_4116465959_2022-03-31.pdf,PNC\2022-03\ARCTARIS ROYALTY VENTURES CO-I statement_4116465959_2022-03-31.pdf,PNC,Would process,,
statement_4116465959_2022-03-31.pdf,PNC\2022-03\ARCTARIS ROYALTY VENTURES CO-I statement_4116465959_2022-03-31.pdf,PNC,Processed,,
statement_4116465959_2022-04-29.pdf,PNC\2022-04\ARCTARIS ROYALTY VENTURES CO-I statement_4116465959_2022-04-29.pdf,PNC,Would process,,
statement_4116465959_2022-04-29.pdf,PNC\2022-04\ARCTARIS ROYALTY VENTURES CO-I statement_4116465959_2022-04-29.pdf,PNC,Processed,,
statement_4116465959_2022-05-31.pdf,PNC\2022-05\ARCTARIS ROYALTY VENTURES CO-I statement_4116465959_2022-05-31.pdf,PNC,Would process,,
statement_4116465959_2022-05-31.pdf,PNC\2022-05\ARCTARIS ROYALTY VENTURES CO-I statement_4116465959_2022-05-31.pdf,PNC,Processed,,
statement_4116465959_2022-06-30.pdf,PNC\2022-06\ARCTARIS ROYALTY VENTURES CO-I statement_4116465959_2022-06-30.pdf,PNC,Would process,,
statement_4116465959_2022-06-30.pdf,PNC\2022-06\ARCTARIS ROYALTY VENTURES CO-I statement_4116465959_2022-06-30.pdf,PNC,Processed,,
